Time (CET/CEST),BZN|IE(SEM) > BZN|GB [MW],BZN|GB > BZN|IE(SEM) [MW]
20.01.2022 19:00 - 20.01.2022 20:00,0,486
20.01.2022 20:00 - 20.01.2022 21:00,0,326
20.01.2022 21:00 - 20.01.2022 22:00,0,105
20.01.2022 22:00 - 20.01.2022 23:00,0,156
20.01.2022 23:00 - 21.01.2022 00:00,0,150
21.01.2022 00:00 - 21.01.2022 01:00,0,251
21.01.2022 01:00 - 21.01.2022 02:00,0,657
21.01.2022 02:00 - 21.01.2022 03:00,0,636
21.01.2022 03:00 - 21.01.2022 04:00,0,769
21.01.2022 04:00 - 21.01.2022 05:00,0,721
21.01.2022 05:00 - 21.01.2022 06:00,0,674
21.01.2022 06:00 - 21.01.2022 07:00,0,551
21.01.2022 07:00 - 21.01.2022 08:00,54,223
